City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Port Elizabeth,ZA,2021-11-20 17:57:52,-33.918,25.5701,64.69,72,75,12.66
140,Hamilton,US,2021-11-20 17:54:04,39.1834,-84.5333,51.12,53,100,1.99
141,Valleyview,CA,2021-11-20 17:57:52,55.0667,-117.2859,5.04,78,100,10.36
142,Vetralla,IT,2021-11-20 17:57:52,42.3098,12.0784,55.26,83,3,1.45
143,Santa Isabel Do Rio Negro,BR,2021-11-20 17:57:53,-0.4139,-65.0192,74.55,96,100,0.56
144,Narsaq,GL,2021-11-20 17:57:53,60.9167,-46.05,35.22,100,100,4.41
145,Chokurdakh,RU,2021-11-20 17:57:53,70.6333,147.9167,-5.76,99,100,4.52
146,Kavieng,PG,2021-11-20 17:57:54,-2.5744,150.7967,81.93,75,45,6.73
147,Sao Filipe,CV,2021-11-20 17:50:47,14.8961,-24.4956,78.69,78,90,4.88
148,Campbell River,CA,2021-11-20 17:57:54,50.0163,-125.2446,42.26,97,75,2.3
149,Saint-Augustin,CA,2021-11-20 17:57:54,51.226,-58.6502,31.46,53,11,15.99
150,Richha,IN,2021-11-20 17:57:55,28.7,79.5167,65.71,45,0,7.25
151,Laguna,US,2021-11-20 17:57:55,38.421,-121.4238,64.0,84,90,4.0
152,Sioux Lookout,CA,2021-11-20 17:57:56,50.1001,-91.917,30.27,69,40,11.5
153,Chuy,UY,2021-11-20 17:56:12,-33.6971,-53.4616,81.23,40,0,8.63
154,Lircay,PE,2021-11-20 17:57:56,-12.9896,-74.7205,46.94,90,100,4.94
155,Cururupu,BR,2021-11-20 17:57:56,-1.8283,-44.8683,87.26,60,50,8.41
156,Marzuq,YE,2021-11-20 17:57:57,14.4,46.4667,68.85,46,51,6.55
157,Flinders,AU,2021-11-20 17:57:57,-34.5833,150.8552,60.21,93,100,1.99
158,Maliq,AL,2021-11-20 17:57:57,40.7058,20.6997,39.04,81,1,2.55
159,Grand Forks,US,2021-11-20 17:55:44,47.9417,-97.4337,31.93,64,1,3.44
160,Gat,IL,2021-11-20 17:57:58,31.61,34.7642,58.41,71,98,3.13
161,Choya,RU,2021-11-20 17:57:58,52.0108,86.5467,10.81,92,97,4.0
162,Amurzet,RU,2021-11-20 17:57:58,47.6967,131.0981,12.76,86,60,5.46
163,Calama,CL,2021-11-20 17:56:14,-22.4667,-68.9333,73.89,9,25,17.27
164,Poum,NC,2021-11-20 17:57:59,-20.2333,164.0167,75.69,75,2,15.68
165,Provideniya,RU,2021-11-20 17:50:45,64.3833,-173.3,8.64,59,11,4.0
166,Nanyang,CN,2021-11-20 17:57:59,32.9947,112.5328,53.08,84,100,1.88
167,Camacha,PT,2021-11-20 17:57:59,33.0833,-16.3333,65.62,56,20,4.61
168,Kahului,US,2021-11-20 17:58:00,20.8947,-156.47,78.84,83,21,1.99
169,Ipixuna,BR,2021-11-20 17:58:00,-1.7625,-48.8043,75.15,73,57,3.38
170,Inhambane,MZ,2021-11-20 17:58:00,-23.865,35.3833,75.18,88,75,7.0
171,Zelenikovo,MK,2021-11-20 17:58:01,41.8867,21.5869,50.05,66,0,4.61
172,Termoli,IT,2021-11-20 17:58:01,41.9888,14.9895,55.02,78,23,2.73
173,Dongning,CN,2021-11-20 17:58:01,44.0622,131.1207,26.15,68,12,2.71
174,Ulaanbaatar,MN,2021-11-20 17:54:17,47.9077,106.8832,10.53,79,75,15.66
175,Annau,TM,2021-11-20 17:58:02,37.8876,58.516,38.7,65,20,2.3
176,Tasiilaq,GL,2021-11-20 17:58:02,65.6145,-37.6368,25.32,95,100,16.02
177,Kenai,US,2021-11-20 17:58:02,60.5544,-151.2583,14.14,84,11,12.3
178,Portland,US,2021-11-20 17:57:02,45.5234,-122.6762,49.37,91,93,1.01
179,Aguimes,ES,2021-11-20 17:58:03,27.9054,-15.4461,66.83,66,20,6.91
180,Cidreira,BR,2021-11-20 17:58:03,-30.1811,-50.2056,70.59,56,0,11.63
181,Russell,US,2021-11-20 17:59:03,32.3502,-85.1999,61.0,54,2,8.63
182,Kudahuvadhoo,MV,2021-11-20 17:59:04,2.6708,72.8944,81.64,76,73,17.9
