City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
243,Ivanava,BY,52.1451,25.5365,31.15,79,41,4.92,scattered clouds
244,Dakar,SN,14.6937,-17.4441,74.28,60,47,5.75,scattered clouds
245,Aklavik,CA,68.2191,-135.0107,-13.97,95,100,7.23,overcast clouds
246,Guerrero Negro,MX,27.9769,-114.0611,70.21,51,100,7.29,overcast clouds
247,Kant,IN,27.8,79.8,63.27,32,0,4.65,clear sky
248,Voh,NC,-20.9667,164.7,85.77,58,100,7.25,light rain
249,Abnub,EG,27.2696,31.1511,53.82,64,0,4.09,clear sky
250,Florence,IT,43.7667,11.25,56.88,77,75,5.75,broken clouds
251,Faya,SA,18.3851,42.4509,53.71,71,11,1.39,few clouds
252,Srednebelaya,RU,50.6594,128.0106,12.58,94,100,20.54,light snow
253,Bandarbeyla,SO,9.4942,50.8122,76.55,68,82,9.26,broken clouds
254,Acarau,BR,-2.8856,-40.12,80.31,82,100,13.94,overcast clouds
255,Alta Floresta,BR,-9.8756,-56.0861,70.99,97,100,2.44,moderate rain
256,Krasnoselkup,RU,65.7,82.4667,18.79,95,98,15.3,light snow
257,Carutapera,BR,-1.195,-46.02,78.73,80,17,5.48,few clouds
258,La Palma,US,33.8464,-118.0467,77.7,32,1,1.01,clear sky
259,Araouane,ML,18.9048,-3.5265,75.76,31,98,7.81,overcast clouds
260,Tocopilla,CL,-22.092,-70.1979,63.54,70,52,1.52,broken clouds
261,Margate,GB,51.3813,1.3862,46.69,81,73,1.99,broken clouds
262,Chilca,PE,-12.5211,-76.7372,66.61,85,100,6.2,overcast clouds
263,Port Hedland,AU,-20.3167,118.5667,91.45,46,62,10.36,broken clouds
264,Yerbogachen,RU,61.2767,108.0108,-3.75,82,47,8.97,scattered clouds
265,Lithgow,AU,-33.4833,150.15,60.67,67,96,6.73,overcast clouds
266,Geraldton,AU,-28.7667,114.6,76.12,43,0,12.66,clear sky
267,Kruisfontein,ZA,-34.0033,24.7314,59.88,84,100,10.45,overcast clouds
268,Porto Velho,BR,-8.7619,-63.9039,77.05,94,40,0.0,scattered clouds
269,Bayonet Point,US,28.3267,-82.6834,69.8,83,100,5.99,overcast clouds
270,Narsaq,GL,60.9167,-46.05,23.22,75,2,6.91,clear sky
271,Xingcheng,CN,40.6167,120.7167,34.39,25,0,12.33,clear sky
272,Dunedin,NZ,-45.8742,170.5036,55.42,63,6,5.77,clear sky
273,Sulangan,PH,11.1373,123.7228,84.2,74,78,12.08,broken clouds
274,Tupiza,BO,-21.45,-65.7167,53.22,81,100,0.87,overcast clouds
275,East London,ZA,-33.0153,27.9116,65.73,87,100,17.98,light rain
276,Werda,BW,-25.2667,23.2833,62.44,29,0,6.8,clear sky
277,Hasaki,JP,35.7333,140.8333,59.29,71,100,14.45,overcast clouds
278,Coahuayana,MX,18.7333,-103.6833,80.08,89,81,2.59,broken clouds
279,Dickson,US,36.077,-87.3878,35.13,64,20,0.0,few clouds
280,Arlit,NE,18.7369,7.3853,71.1,20,0,1.74,clear sky
